title,in_office,last_name,first_name,middle_name,suffix,nickname,full_name,birthdate,gender,state,district,senate_class,party,official_url,wikipedia_id,lis_id,govtrack_id,thomas_id,bioguide_id,fec_ids
Sen,True,Tester,Jon,,,,Jon Tester,1956-08-21,M,MT,,1,Democrat,https://www.tester.senate.gov,Jon Tester,S314,412244,01829,T000464,S6MT00162
Sen,True,Whitehouse,Sheldon,,,,Sheldon Whitehouse,1955-10-20,M,RI,,1,Democrat,https://www.whitehouse.senate.gov,Sheldon Whitehouse,S316,412247,01823,W000802,S6RI00221
Sen,True,Barrasso,John,A.,,,John Barrasso,1952-07-21,M,WY,,1,Republican,https://www.barrasso.senate.gov,John Barrasso,S317,412251,01881,B001261,S6WY00068
Sen,True,Wicker,Roger,F.,,,Roger F. Wicker,1951-07-05,M,MS,,1,Republican,https://www.wicker.senate.gov,Roger Wicker,S318,400432,01226,W000437,"H4MS01078,S8MS00196"
Sen,True,Alexander,Lamar,,,,Lamar Alexander,1940-07-03,M,TN,,2,Republican,https://www.alexander.senate.gov/public,Lamar Alexander,S289,300002,01695,A000360,"S2TN00058,P60003225"
Sen,True,Collins,Susan,M.,,,Susan M. Collins,1952-12-07,F,ME,,2,Republican,https://www.collins.senate.gov,Susan Collins,S252,300025,01541,C001035,S6ME00159
Sen,True,Cornyn,John,,,,John Cornyn,1952-02-02,M,TX,,2,Republican,https://www.cornyn.senate.gov,John Cornyn,S287,300027,01692,C001056,S2TX00106
Sen,True,Durbin,Richard,J.,,,Richard J. Durbin,1944-11-21,M,IL,,2,Democrat,https://www.durbin.senate.gov,Dick Durbin,S253,300038,00326,D000563,"S6IL00151,H2IL20026"
Sen,True,Enzi,Michael,B.,,,Michael B. Enzi,1944-02-01,M,WY,,2,Republican,https://www.enzi.senate.gov,Mike Enzi,S254,300041,01542,E000285,S6WY00126
Sen,True,Graham,Lindsey,O.,,,Lindsey Graham,1955-07-09,M,SC,,2,Republican,https://www.lgraham.senate.gov/public,Lindsey Graham,S293,300047,00452,G000359,"S0SC00149,H4SC03087"
Sen,True,Inhofe,James,M.,,Jim,James M. Inhofe,1934-11-17,M,OK,,2,Republican,https://www.inhofe.senate.gov,Jim Inhofe,S236,300055,00583,I000024,"S4OK00083,H6OK01102"
Sen,True,McConnell,Mitch,,,,Mitch McConnell,1942-02-20,M,KY,,2,Republican,https://www.mcconnell.senate.gov,Mitch McConnell,S174,300072,01395,M000355,S2KY00012
Sen,True,Merkley,Jeff,,,,Jeff Merkley,1956-10-24,M,OR,,2,Democrat,https://www.merkley.senate.gov,Jeff Merkley,S322,412325,01900,M001176,S8OR00207
Sen,True,Reed,John,F.,,Jack,Jack Reed,1949-11-12,M,RI,,2,Democrat,https://www.reed.senate.gov,Jack Reed (Rhode Island politician),S259,300081,00949,R000122,"S6RI00163,H0RI02071"
Sen,True,Risch,James,,,,James E. Risch,1943-05-03,M,ID,,2,Republican,https://www.risch.senate.gov,Jim Risch,S323,412322,01896,R000584,S8ID00092
Sen,True,Roberts,Pat,,,,Pat Roberts,1936-04-20,M,KS,,2,Republican,https://www.roberts.senate.gov,Pat Roberts,S260,300083,00968,R000307,"S6KS00080,H0KS01016"
Sen,True,Shaheen,Jeanne,,,,Jeanne Shaheen,1947-01-28,F,NH,,2,Democrat,https://www.shaheen.senate.gov,Jeanne Shaheen,S324,412323,01901,S001181,S0NH00219
Sen,True,Udall,Tom,S.,,,Tom Udall,1948-05-18,M,NM,,2,Democrat,https://www.tomudall.senate.gov,Tom Udall,S326,400413,01567,U000039,"H8NM03097,S8NM00184"
Sen,True,Warner,Mark,,,,Mark R. Warner,1954-12-15,M,VA,,2,Democrat,https://www.warner.senate.gov,Mark Warner,S327,412321,01897,W000805,"S6VA00093,P80003023"
Sen,True,Gillibrand,Kirsten,E.,,,Kirsten E. Gillibrand,1966-12-09,F,NY,,1,Democrat,https://www.gillibrand.senate.gov,Kirsten Gillibrand,S331,412223,01866,G000555,"H6NY20167,S0NY00410"
Sen,True,Coons,Chris,Andrew,,,Christopher A. Coons,1963-09-09,M,DE,,2,Democrat,https://www.coons.senate.gov,Chris Coons,S337,412390,01984,C001088,S0DE00092
Sen,True,Manchin,Joe,,III,,"Joe Manchin, III",1947-08-24,M,WV,,1,Democrat,https://www.manchin.senate.gov,Joe Manchin,S338,412391,01983,M001183,S0WV00090
Rep.,True,Aderholt,Robert,B.,,,Robert B. Aderholt,1965-07-22,M,AL,04,,Republican,https://aderholt.house.gov,Robert Aderholt,,400004,01460,A000055,H6AL04098
Rep.,True,Amash,Justin,,,,Justin Amash,1980-04-18,M,MI,03,,Independent,https://amash.house.gov,Justin Amash,,412438,02029,A000367,H0MI03126
Sen,True,Baldwin,Tammy,,,,Tammy Baldwin,1962-02-11,F,WI,,1,Democrat,https://www.baldwin.senate.gov,Tammy Baldwin,S354,400013,01558,B001230,"H8WI00018,S2WI00219"
Rep.,True,Bass,Karen,,,,Karen Bass,1953-10-03,F,CA,37,,Democrat,https://bass.house.gov,Karen Bass,,412404,01996,B001270,H0CA33117
Sen,True,Bennet,Michael,F.,,,Michael F. Bennet,1964-11-28,M,CO,,3,Democrat,https://www.bennet.senate.gov/public,Michael Bennet,S330,412330,01965,B001267,S0CO00211
Rep.,True,Bilirakis,Gus,M.,,,Gus M. Bilirakis,1963-02-08,M,FL,12,,Republican,https://bilirakis.house.gov,Gus Bilirakis,,412250,01838,B001257,H6FL09070
Rep.,True,Bishop,Rob,,,,Rob Bishop,1951-07-13,M,UT,01,,Republican,https://robbishop.house.gov,Rob Bishop,,400029,01753,B001250,H2UT01094
Rep.,True,Bishop,Sanford,D.,Jr.,,"Sanford D. Bishop, Jr.",1947-02-04,M,GA,02,,Democrat,https://bishop.house.gov,Sanford Bishop,,400030,00091,B000490,H2GA02031
Sen,True,Blackburn,Marsha,W.,,,Marsha Blackburn,1952-06-06,F,TN,,1,Republican,https://www.blackburn.senate.gov,Marsha Blackburn,S396,400032,01748,B001243,"H2TN06030,S8TN00337"
Rep.,True,Blumenauer,Earl,,,,Earl Blumenauer,1948-08-16,M,OR,03,,Democrat,https://blumenauer.house.gov,Earl Blumenauer,,400033,00099,B000574,H6OR03064
Sen,True,Blumenthal,Richard,,,,Richard Blumenthal,1946-02-13,M,CT,,3,Democrat,https://www.blumenthal.senate.gov,Richard Blumenthal,S341,412490,02076,B001277,S0CT00177
Sen,True,Blunt,Roy,,,,Roy Blunt,1950-01-10,M,MO,,3,Republican,https://www.blunt.senate.gov,Roy Blunt,S342,400034,01464,B000575,"H6MO07128,S0MO00183"
Sen,True,Boozman,John,,,,John Boozman,1950-12-10,M,AR,,3,Republican,https://www.boozman.senate.gov/public,John Boozman,S343,400040,01687,B001236,"H2AR03176,S0AR00150"
Rep.,True,Brady,Kevin,P.,,,Kevin Brady,1955-04-11,M,TX,08,,Republican,https://kevinbrady.house.gov,Kevin Brady,,400046,01468,B000755,H6TX08100
Rep.,True,Brooks,Mo,,,,Mo Brooks,1954-04-29,M,AL,05,,Republican,https://brooks.house.gov,Mo Brooks,,412395,01987,B001274,H0AL05163
Rep.,True,Buchanan,Vern,,,,Vern Buchanan,1951-05-08,M,FL,16,,Republican,https://buchanan.house.gov,Vern Buchanan,,412196,01840,B001260,H6FL13148
Rep.,True,Bucshon,Larry,,,,Larry Bucshon,1962-05-31,M,IN,08,,Republican,https://bucshon.house.gov,Larry Bucshon,,412427,02018,B001275,H0IN08114
Rep.,True,Burgess,Michael,C.,,,Michael C. Burgess,1950-12-23,M,TX,26,,Republican,https://burgess.house.gov,Michael C. Burgess,,400052,01751,B001248,H2TX26093
Sen,True,Burr,Richard,M.,,,Richard Burr,1955-11-30,M,NC,,3,Republican,https://www.burr.senate.gov,Richard Burr,S300,400054,00153,B001135,"S4NC00089,H2NC05074"
Rep.,True,Butterfield,George,Kenneth,Jr.,G.K.,G. K. Butterfield,1947-04-27,M,NC,01,,Democrat,https://butterfield.house.gov,G. K. Butterfield,,400616,01761,B001251,H4NC01046
Rep.,True,Calvert,Ken,S.,,,Ken Calvert,1953-06-08,M,CA,42,,Republican,https://calvert.house.gov,Ken Calvert,,400057,00165,C000059,H2CA37023
Sen,True,Capito,Shelley,Moore,,,Shelley Moore Capito,1953-11-26,F,WV,,2,Republican,https://www.capito.senate.gov,Shelley Moore Capito,S372,400061,01676,C001047,"H0WV02138,S4WV00159"
Rep.,True,Carson,André,,,,André Carson,1974-10-16,M,IN,07,,Democrat,https://carson.house.gov,André Carson,,412258,01889,C001072,H8IN07184
Rep.,True,Carter,John,R.,,,John R. Carter,1941-11-06,M,TX,31,,Republican,https://carter.house.gov,John Carter (Texas politician),,400068,01752,C001051,H2TX31044
Sen,True,Cassidy,Bill,,,,Bill Cassidy,1957-09-28,M,LA,,2,Republican,https://www.cassidy.senate.gov,Bill Cassidy,S373,412269,01925,C001075,"H8LA00017,S4LA00107"
Rep.,True,Castor,Kathy,,,,Kathy Castor,1966-08-20,F,FL,14,,Democrat,https://castor.house.gov,Kathy Castor,,412195,01839,C001066,"H6FL11126,H6FL11134"
Rep.,True,Chabot,Steve,J.,,,Steve Chabot,1953-01-22,M,OH,01,,Republican,https://chabot.house.gov,Steve Chabot,,400071,00186,C000266,H8OH01043
Rep.,True,Chu,Judy,M.,,,Judy Chu,1953-07-07,F,CA,27,,Democrat,https://chu.house.gov,Judy Chu,,412379,01970,C001080,H0CA32101
Rep.,True,Cicilline,David,N.,,,David N. Cicilline,1961-07-15,M,RI,01,,Democrat,https://cicilline.house.gov,David Cicilline,,412470,02055,C001084,H0RI01073
Rep.,True,Clarke,Yvette,D.,,,Yvette D. Clarke,1964-11-21,F,NY,09,,Democrat,https://clarke.house.gov,Yvette Clarke,,412221,01864,C001067,H4NY11138
Rep.,True,Clay,Wm.,Lacy,Jr.,,Wm. Lacy Clay,1956-07-27,M,MO,01,,Democrat,https://lacyclay.house.gov,Lacy Clay,,400074,01654,C001049,H0MO01066
Rep.,True,Cleaver,Emanuel,,II,,Emanuel Cleaver,1944-10-26,M,MO,05,,Democrat,https://cleaver.house.gov,Emanuel Cleaver,,400639,01790,C001061,H4MO05234
Rep.,True,Clyburn,James,E.,,Jim,James E. Clyburn,1940-07-21,M,SC,06,,Democrat,https://clyburn.house.gov,Jim Clyburn,,400075,00208,C000537,H2SC02042
Rep.,True,Cohen,Steve,,,,Steve Cohen,1949-05-24,M,TN,09,,Democrat,https://cohen.house.gov,Steve Cohen,,412236,01878,C001068,H6TN09068
Rep.,True,Cole,Tom,,,,Tom Cole,1949-04-28,M,OK,04,,Republican,https://cole.house.gov,Tom Cole,,400077,01742,C001053,H2OK04055
Rep.,True,Conaway,K.,Michael,,,K. Michael Conaway,1948-06-11,M,TX,11,,Republican,https://conaway.house.gov,Mike Conaway,,400655,01805,C001062,"H4TX19136,H3TX19021"
Rep.,True,Connolly,Gerald,E.,,,Gerald E. Connolly,1950-03-30,M,VA,11,,Democrat,https://connolly.house.gov,Gerry Connolly,,412272,01959,C001078,H8VA11062
Rep.,True,Cooper,Jim,,,,Jim Cooper,1954-06-19,M,TN,05,,Democrat,https://cooper.house.gov,Jim Cooper,,400081,00231,C000754,"H2TN05131,H2TN04027,S4TN00096"
Rep.,True,Costa,Jim,,,,Jim Costa,1952-04-13,M,CA,16,,Democrat,https://costa.house.gov,Jim Costa,,400618,01774,C001059,H4CA20082
Rep.,True,Courtney,Joe,,,,Joe Courtney,1953-04-06,M,CT,02,,Democrat,https://courtney.house.gov,Joe Courtney (politician),,412193,01836,C001069,H2CT02112
Sen,True,Crapo,Michael,D.,,,Mike Crapo,1951-05-20,M,ID,,3,Republican,https://www.crapo.senate.gov,Mike Crapo,S266,300030,00250,C000880,"S8ID00027,H2ID02034"
Rep.,True,Crawford,Eric,A.,,Rick,"Eric A. ""Rick"" Crawford",1966-01-22,M,AR,01,,Republican,https://crawford.house.gov,Rick Crawford (politician),,412400,01989,C001087,H0AR01083
Rep.,True,Cuellar,Henry,,,,Henry Cuellar,1955-09-19,M,TX,28,,Democrat,https://cuellar.house.gov,Henry Cuellar,,400657,01807,C001063,H2TX23082
Rep.,True,Davis,Danny,K.,,,Danny K. Davis,1941-09-06,M,IL,07,,Democrat,https://davis.house.gov,Danny K. Davis,,400093,01477,D000096,H4IL07037
Rep.,True,Davis,Susan,A.,,,Susan A. Davis,1944-04-13,F,CA,53,,Democrat,https://susandavis.house.gov,Susan Davis (politician),,400097,01641,D000598,H0CA49055
Rep.,True,DeFazio,Peter,A.,,,Peter A. DeFazio,1947-05-27,M,OR,04,,Democrat,https://defazio.house.gov,Peter DeFazio,,400100,00279,D000191,"H6OR04047,S6OR00151"
Rep.,True,DeGette,Diana,L.,,,Diana DeGette,1957-07-29,F,CO,01,,Democrat,https://degette.house.gov,Diana DeGette,,400101,01479,D000197,H6CO01141
Rep.,True,DeLauro,Rosa,L.,,,Rosa L. DeLauro,1943-03-02,F,CT,03,,Democrat,https://delauro.house.gov,Rosa DeLauro,,400103,00281,D000216,H0CT03072
Rep.,True,DesJarlais,Scott,,,,Scott DesJarlais,1964-02-21,M,TN,04,,Republican,https://desjarlais.house.gov,Scott DesJarlais,,412477,02062,D000616,H0TN04195
Rep.,True,Deutch,Theodore,E.,,,Theodore E. Deutch,1966-05-07,M,FL,22,,Democrat,https://teddeutch.house.gov,Ted Deutch,,412385,01976,D000610,H0FL19080
Rep.,True,Diaz-Balart,Mario,,,,Mario Diaz-Balart,1961-09-25,M,FL,25,,Republican,https://mariodiazbalart.house.gov,Mario Díaz-Balart,,400108,01717,D000600,H2FL25018
Rep.,True,Doggett,Lloyd,A.,,,Lloyd Doggett,1946-10-06,M,TX,35,,Democrat,https://doggett.house.gov,Lloyd Doggett,,400111,00303,D000399,H4TX10028
Rep.,True,Doyle,Michael,F.,Jr.,Mike,Michael F. Doyle,1953-08-05,M,PA,18,,Democrat,https://doyle.house.gov,Michael F. Doyle,,400114,00316,D000482,H4PA18131
Rep.,True,Duncan,Jeff,,,,Jeff Duncan,1966-01-07,M,SC,03,,Republican,https://jeffduncan.house.gov,Jeff Duncan (politician),,412472,02057,D000615,H0SC03077
Rep.,True,Engel,Eliot,L.,,,Eliot L. Engel,1947-02-18,M,NY,16,,Democrat,https://engel.house.gov,Eliot Engel,,400122,00344,E000179,H8NY19058
Rep.,True,Eshoo,Anna,G.,,,Anna G. Eshoo,1942-12-13,F,CA,18,,Democrat,https://eshoo.house.gov,Anna Eshoo,,400124,00355,E000215,H8CA12098
Rep.,True,Fleischmann,Charles,J.,,Chuck,"Charles J. ""Chuck"" Fleischmann",1962-10-11,M,TN,03,,Republican,https://fleischmann.house.gov,Chuck Fleischmann,,412476,02061,F000459,H0TN03254
Rep.,True,Flores,Bill,,,,Bill Flores,1954-02-25,M,TX,17,,Republican,https://flores.house.gov,Bill Flores,,412480,02065,F000461,H0TX17104
Rep.,True,Fortenberry,Jeff,Lane,,,Jeff Fortenberry,1960-12-27,M,NE,01,,Republican,https://fortenberry.house.gov,Jeff Fortenberry,,400640,01793,F000449,H4NE01064
Rep.,True,Foxx,Virginia,,,,Virginia Foxx,1943-06-29,F,NC,05,,Republican,https://foxx.house.gov,Virginia Foxx,,400643,01791,F000450,H4NC05146
Rep.,True,Fudge,Marcia,L.,,,Marcia L. Fudge,1952-10-29,F,OH,11,,Democrat,https://fudge.house.gov,Marcia Fudge,,412327,01895,F000455,H8OH11141
Rep.,True,Garamendi,John,,,,John Garamendi,1945-01-24,M,CA,03,,Democrat,https://garamendi.house.gov,John Garamendi,,412382,01973,G000559,H0CA10149
Sen,True,Gardner,Cory,,,,Cory Gardner,1974-08-22,M,CO,,2,Republican,https://www.gardner.senate.gov,Cory Gardner,S377,412406,01998,G000562,"H0CO04122,S4CO00395"
Rep.,True,Gibbs,Bob,,,,Bob Gibbs,1954-06-14,M,OH,07,,Republican,https://gibbs.house.gov,Bob Gibbs,,412463,02049,G000563,H0OH18077
Rep.,True,Gohmert,Louie,B.,Jr.,,Louie Gohmert,1953-08-18,M,TX,01,,Republican,https://gohmert.house.gov,Louie Gohmert,,400651,01801,G000552,H4TX04039
Rep.,True,Gosar,Paul,A.,,,Paul A. Gosar,1958-11-22,M,AZ,04,,Republican,https://gosar.house.gov,Paul Gosar,,412397,01992,G000565,H0AZ01259
Rep.,True,Granger,Kay,,,,Kay Granger,1943-01-18,F,TX,12,,Republican,https://kaygranger.house.gov,Kay Granger,,400157,01487,G000377,H6TX12060
Sen,True,Grassley,Charles,E.,,Chuck,Chuck Grassley,1933-09-17,M,IA,,3,Republican,https://www.grassley.senate.gov,Chuck Grassley,S153,300048,00457,G000386,S0IA00028
Rep.,True,Graves,Sam,B.,,,Sam Graves,1963-11-07,M,MO,06,,Republican,https://graves.house.gov,Sam Graves,,400158,01656,G000546,H0MO06073
Rep.,True,Graves,Tom,,,,Tom Graves,1970-02-03,M,GA,14,,Republican,https://tomgraves.house.gov,Tom Graves,,412388,01979,G000560,H0GA09030
Rep.,True,Green,Al,,,,Al Green,1947-09-01,M,TX,09,,Democrat,https://algreen.house.gov,Al Green (politician),,400653,01803,G000553,H4TX09095
Rep.,True,Griffith,H.,Morgan,,,H. Morgan Griffith,1958-03-15,M,VA,09,,Republican,https://morgangriffith.house.gov,Morgan Griffith,,412485,02070,G000568,H0VA09055
Rep.,True,Grijalva,Raúl,M.,,,Raúl M. Grijalva,1948-02-19,M,AZ,03,,Democrat,https://grijalva.house.gov,Raúl Grijalva,,400162,01708,G000551,H2AZ07070
Rep.,True,Guthrie,Brett,,,,Brett Guthrie,1964-02-18,M,KY,02,,Republican,https://guthrie.house.gov,Brett Guthrie,,412278,01922,G000558,H8KY02031
Rep.,True,Harris,Andy,,,,Andy Harris,1957-01-25,M,MD,01,,Republican,https://harris.house.gov,Andy Harris (politician),,412434,02026,H001052,H8MD01094
Rep.,True,Hartzler,Vicky,,,,Vicky Hartzler,1960-10-13,F,MO,04,,Republican,https://hartzler.house.gov,Vicky Hartzler,,412444,02032,H001053,H0MO04086
Rep.,True,Hastings,Alcee,L.,,,Alcee L. Hastings,1936-09-05,M,FL,20,,Democrat,https://alceehastings.house.gov,Alcee Hastings,,400170,00511,H000324,H2FL23021
Sen,True,Heinrich,Martin,,,,Martin Heinrich,1971-10-17,M,NM,,1,Democrat,https://www.heinrich.senate.gov,Martin Heinrich,S359,412281,01937,H001046,"H8NM01224,S2NM00088"
Rep.,True,Herrera Beutler,Jaime,,,,Jaime Herrera Beutler,1978-11-03,F,WA,03,,Republican,https://herrerabeutler.house.gov,Jaime Herrera Beutler,,412486,02071,H001056,H0WA03187
Rep.,True,Higgins,Brian,M.,,,Brian Higgins,1959-10-06,M,NY,26,,Democrat,https://higgins.house.gov,Brian Higgins,,400641,01794,H001038,H4NY27076
Rep.,True,Himes,James,A.,,,James A. Himes,1966-07-05,M,CT,04,,Democrat,https://himes.house.gov,Jim Himes,,412282,01913,H001047,H8CT04172
Sen,True,Hirono,Mazie,K.,,,Mazie K. Hirono,1947-11-03,F,HI,,1,Democrat,https://www.hirono.senate.gov,Mazie Hirono,S361,412200,01844,H001042,"H6HI02251,S2HI00106"
Sen,True,Hoeven,John,,,,John Hoeven,1957-03-13,M,ND,,3,Republican,https://www.hoeven.senate.gov,John Hoeven,S344,412494,02079,H001061,S0ND00093
Rep.,True,Hoyer,Steny,H.,,,Steny H. Hoyer,1939-06-14,M,MD,05,,Democrat,https://hoyer.house.gov,Steny Hoyer,,400189,00566,H000874,H2MD05155
Rep.,True,Huizenga,Bill,,,,Bill Huizenga,1969-01-31,M,MI,02,,Republican,https://huizenga.house.gov,Bill Huizenga,,412437,02028,H001058,H0MI02094
Rep.,True,Jackson Lee,Sheila,,,,Sheila Jackson Lee,1950-01-12,F,TX,18,,Democrat,https://jacksonlee.house.gov,Sheila Jackson Lee,,400199,00588,J000032,H4TX18054
Rep.,True,Johnson,Bill,,,,Bill Johnson,1954-11-10,M,OH,06,,Republican,https://billjohnson.house.gov,Bill Johnson (Ohio politician),,412460,02046,J000292,H0OH06189
Rep.,True,Johnson,Eddie,Bernice,,,Eddie Bernice Johnson,1935-12-03,F,TX,30,,Democrat,https://ebjohnson.house.gov,Eddie Bernice Johnson,,400204,00599,J000126,H2TX00015
Rep.,True,Johnson,Henry,C.,Jr.,Hank,"Henry C. ""Hank"" Johnson, Jr.",1954-10-02,M,GA,04,,Democrat,https://hankjohnson.house.gov,Hank Johnson,,412199,01843,J000288,H6GA04129
Sen,True,Johnson,Ron,,,,Ron Johnson,1955-04-08,M,WI,,3,Republican,https://www.ronjohnson.senate.gov,Ron Johnson (Wisconsin politician),S345,412496,02086,J000293,S0WI00197
Rep.,True,Jordan,Jim,,,,Jim Jordan,1964-02-17,M,OH,04,,Republican,https://jordan.house.gov,Jim Jordan (American politician),,412226,01868,J000289,H6OH04082
Rep.,True,Kaptur,Marcy,,,,Marcy Kaptur,1946-06-17,F,OH,09,,Democrat,https://kaptur.house.gov,Marcy Kaptur,,400211,00616,K000009,H2OH09031
Rep.,True,Keating,William,R.,,,William R. Keating,1952-09-06,M,MA,09,,Democrat,https://keating.house.gov,Bill Keating (politician),,412435,02025,K000375,H0MA10082
Rep.,True,Kelly,Mike,,,,Mike Kelly,1948-05-10,M,PA,16,,Republican,https://kelly.house.gov,Mike Kelly (Pennsylvania politician),,412465,02051,K000376,H0PA03271
Rep.,True,Kind,Ron,James,,,Ron Kind,1963-03-16,M,WI,03,,Democrat,https://kind.house.gov,Ron Kind,,400218,01498,K000188,H6WI03099
Rep.,True,King,Peter,T.,,Pete,Peter T. King,1944-04-05,M,NY,02,,Republican,https://peteking.house.gov,Peter T. King,,400219,00635,K000210,H2NY03089
Rep.,True,King,Steve,A.,,,Steve King,1949-05-28,M,IA,04,,Republican,https://steveking.house.gov,Steve King,,400220,01724,K000362,H2IA05072
Rep.,True,Kinzinger,Adam,,,,Adam Kinzinger,1978-02-27,M,IL,16,,Republican,https://kinzinger.house.gov,Adam Kinzinger,,412421,02014,K000378,H0IL11052
Rep.,True,Lamborn,Doug,,,,Doug Lamborn,1954-05-24,M,CO,05,,Republican,https://lamborn.house.gov,Doug Lamborn,,412191,01834,L000564,H6CO05159
Rep.,True,Langevin,James,R.,,Jim,James R. Langevin,1964-04-22,M,RI,02,,Democrat,https://langevin.house.gov,James Langevin,,400230,01668,L000559,H0RI02139
Sen,True,Lankford,James,,,,James Lankford,1968-03-04,M,OK,,3,Republican,https://www.lankford.senate.gov,James Lankford,S378,412464,02050,L000575,"H0OK05114,S4OK00232"
Rep.,True,Larsen,Rick,,,,Rick Larsen,1965-06-15,M,WA,02,,Democrat,https://larsen.house.gov,Rick Larsen,,400232,01675,L000560,H0WA02080
Rep.,True,Larson,John,B.,,,John B. Larson,1948-07-22,M,CT,01,,Democrat,https://larson.house.gov,John B. Larson,,400233,01583,L000557,H8CT01046
Rep.,True,Latta,Robert,E.,,,Robert E. Latta,1956-04-18,M,OH,05,,Republican,https://latta.house.gov,Bob Latta,,412256,01885,L000566,H8OH05036
Sen,True,Leahy,Patrick,J.,,,Patrick J. Leahy,1940-03-31,M,VT,,3,Democrat,https://www.leahy.senate.gov,Patrick Leahy,S057,300065,01383,L000174,S4VT00017
Rep.,True,Lee,Barbara,,,,Barbara Lee,1946-07-16,F,CA,13,,Democrat,https://lee.house.gov,Barbara Lee,,400237,01501,L000551,H8CA09060
Sen,True,Lee,Mike,,,,Mike Lee,1971-06-04,M,UT,,3,Republican,https://www.lee.senate.gov/public,Mike Lee (American politician),S346,412495,02080,L000577,S0UT00165
Rep.,True,Lewis,John,R.,,,John Lewis,1940-02-21,M,GA,05,,Democrat,https://johnlewis.house.gov,John Lewis (civil rights leader),,400240,00688,L000287,H6GA05217
Rep.,True,Lipinski,Daniel,William,,,Daniel Lipinski,1966-07-15,M,IL,03,,Democrat,https://lipinski.house.gov,Dan Lipinski,,400630,01781,L000563,H4IL03077
Rep.,True,Loebsack,David,,,,David Loebsack,1952-12-23,M,IA,02,,Democrat,https://loebsack.house.gov,Dave Loebsack,,412209,01846,L000565,H6IA02146
Rep.,True,Lofgren,Zoe,,,,Zoe Lofgren,1947-12-21,F,CA,19,,Democrat,https://lofgren.house.gov,Zoe Lofgren,,400245,00701,L000397,H4CA16049
Rep.,True,Long,Billy,,,,Billy Long,1955-08-11,M,MO,07,,Republican,https://long.house.gov,Billy Long,,412445,02033,L000576,H0MO07113
Rep.,True,Lowey,Nita,M.,,,Nita M. Lowey,1937-07-05,F,NY,17,,Democrat,https://lowey.house.gov,Nita Lowey,,400246,00709,L000480,H8NY20056
Rep.,True,Lucas,Frank,D.,,,Frank D. Lucas,1960-01-06,M,OK,03,,Republican,https://lucas.house.gov,Frank Lucas (Oklahoma politician),,400247,00711,L000491,H4OK06056
Rep.,True,Luetkemeyer,Blaine,,,,Blaine Luetkemeyer,1952-05-07,M,MO,03,,Republican,https://luetkemeyer.house.gov,Blaine Luetkemeyer,,412292,01931,L000569,H8MO09153
Rep.,True,Luján,Ben,Ray,,,Ben Ray Luján,1972-06-07,M,NM,03,,Democrat,https://lujan.house.gov,Ben Ray Luján,,412293,01939,L000570,H8NM03196
Rep.,True,Lynch,Stephen,F.,,,Stephen F. Lynch,1955-03-31,M,MA,08,,Democrat,https://lynch.house.gov,Stephen F. Lynch,,400249,01686,L000562,"H2MA09072,S0MA00083"
Rep.,True,Maloney,Carolyn,B.,,,Carolyn B. Maloney,1946-02-19,F,NY,12,,Democrat,https://maloney.house.gov,Carolyn Maloney,,400251,00729,M000087,H2NY14037
